sira,isim,gelirler,gelir_yüzde_degisim,karlar,kar_yuzde_degisim,varliklar,piyasa_degeri,sira_degisikligi,calısanlar
73,Caterpillar,50971.0,0.221,6489.0,1.164,82793.0,119406.6,5.0,107700.0
74,Cisco Systems,49818.0,0.01,10591.0,-0.0559999999999999,97497.0,231636.4,-11.0,79500.0
75,TJX,48550.0,0.511,3282.8,35.286,28461.5,71195.3,22.0,340000.0
76,Publix Super Markets,48393.9,0.071,4412.2,0.111,31524.3,,-7.0,232000.0
77,ConocoPhillips,48349.0,1.511,8079.0,,90661.0,129605.1,79.0,9900.0
78,Liberty Mutual Insurance Group,48200.0,0.1009999999999999,3068.0,3.047,156043.0,,-7.0,45000.0
79,Progressive,47702.0,0.118,3350.9,-0.413,71132.3,66670.3,-5.0,49077.0
80,Nationwide,47376.0,0.13,1617.2,,278412.2,,-4.0,24134.0
81,Tyson Foods,47049.0,0.089,3047.0,0.478,36309.0,32487.8,-8.0,137000.0
82,Bristol-Myers Squibb,46385.0,0.091,6994.0,,109314.0,155203.5,-7.0,32200.0
83,Nike,44538.0,0.191,5727.0,1.256,37740.0,212779.1,2.0,73300.0
84,Deere,44024.0,0.239,5963.0,1.168,84114.0,127456.6,4.0,75550.0
85,American Express,43663.0,0.143,8060.0,1.571,188548.0,141613.0,-2.0,64000.0
86,Abbott Laboratories,43075.0,0.245,7071.0,0.573,75196.0,208725.8,3.0,113000.0
87,StoneX Group,42534.2,-0.214,116.3,-0.314,18839.6,1494.4,-29.0,3242.0
88,Plains GP Holdings,42078.0,0.807,60.0,,29978.0,2242.9,39.0,4100.0
89,Enterprise Products Partners,40806.9,0.5,4637.7,0.228,67525.6,56172.4,16.0,6911.0
90,TIAA,40526.4,-0.026,4060.7,6.276,698190.8,,-11.0,15065.0
91,Oracle,40479.0,0.036,13746.0,0.356,131107.0,220736.6,-11.0,132000.0
92,Thermo Fisher Scientific,39211.0,0.217,7725.0,0.212,95123.0,231057.4,3.0,129000.0
93,Coca-Cola,38655.0,0.171,9771.0,0.261,94354.0,268769.7,-1.3963636363636365,79000.0
94,General Dynamics,38469.0,0.0139999999999999,3257.0,0.0279999999999999,50073.0,67081.0,-10.0,103100.0
95,CHS,38448.0,0.354,554.0,0.311,17576.3,,8.0,9941.0
96,USAA,37469.6,0.032,3300.0,-0.155,210676.5,,-9.0,37335.0
97,Northwestern Mutual,36751.2,0.088,977.8,1.301,334653.8,,-7.0,7585.0
98,Nucor,36483.9,0.812,6827.5,8.463,25823.1,39954.0,51.0,28800.0
99,Exelon,36347.0,0.1,1706.0,-0.131,133013.0,46683.9,-7.0,31518.0
100,Massachusetts Mutual Life Insurance,35899.5,0.517,319.3,,383292.4,,23.0,10052.0
101,Northrop Grumman,35667.0,-0.031,7005.0,1.197,42579.0,69811.9,-15.0,88000.0
102,3M,35355.0,0.099,5921.0,0.1,47072.0,84738.3,-6.0,95000.0
103,Travelers,34816.0,0.089,3662.0,0.358,120466.0,44129.4,-5.0,30492.0
104,Arrow Electronics,34477.0,0.2019999999999999,1108.2,0.8959999999999999,19535.5,7951.3,-2.0,20700.0
105,Honeywell International,34392.0,0.054,5542.0,0.16,64470.0,133381.0,-11.0,99000.0
106,Dollar General,34220.4,0.0139999999999999,2399.2,-0.096,26327.4,50953.0,-15.0,163000.0
107,Qualcomm,33566.0,0.426,9043.0,0.74,41240.0,172228.1,17.0,45000.0
108,Capital One Financial,32033.0,0.012,12390.0,3.565,432381.0,53260.4,-9.0,50767.0
109,TD Synnex,31614.2,0.281,395.1,-0.253,27666.4,9853.6,8.0,27000.0
110,Philip Morris International,31405.0,0.094,9109.0,0.131,41290.0,145614.7,-9.0,69600.0
111,World Fuel Services,31337.0,0.539,73.7,-0.3279999999999999,5942.4,1715.5,36.0,4414.0
112,Performance Food Group,30398.9,0.212,40.7,,7845.7,7880.9,2.0,22885.0
113,Delta Air Lines,29899.0,0.7490000000000001,280.0,,72459.0,25322.0,65.0,83000.0
115,Netflix,29697.8,0.188,5116.2,0.853,44584.7,166304.1,-1.3963636363636365,11300.0
116,Paramount Global,29579.0,0.13,4543.0,0.8759999999999999,58620.0,24628.8,-7.0,25115.0
117,US Foods Holding,29487.0,0.288,164.0,,12521.0,8392.3,11.0,28000.0
118,Danaher,29453.0,0.322,6433.0,0.764,83184.0,209993.4,12.0,79000.0
119,Jabil,29285.0,0.074,696.0,11.91,16654.0,8857.3,-15.0,238000.0
120,Starbucks,29060.6,0.236,4199.3,3.524,31392.6,104642.8,5.0,383000.0
121,Mondelez International,28720.0,0.08,4300.0,0.21,67092.0,87159.2,-13.0,79000.0
122,Eli Lilly,28318.4,0.154,5581.7,-0.099,48806.0,272723.6,-4.0,35238.0
123,Hewlett Packard Enterprise,27784.0,0.03,3427.0,,57699.0,21725.3,-17.0,60400.0
124,D.R. Horton,27774.2,0.367,4175.8,0.759,24015.9,26403.2,24.0,11788.0
125,Molina Healthcare,27771.0,0.43,659.0,-0.021,12209.0,19572.9,30.0,14000.0
126,CBRE Group,27746.0,0.165,1836.6,1.442,22073.5,30414.2,-4.0,105000.0
127,Micron Technology,27705.0,0.293,5861.0,1.181,58849.0,86977.2,8.0,43000.0
128,Broadcom,27450.0,0.149,6736.0,1.276,75570.0,257086.5,-7.0,20000.0
129,Gilead Sciences,27305.0,0.106,6225.0,49.61,67952.0,74656.5,-13.0,14400.0
130,PBF Energy,27253.4,0.8029999999999999,231.0,,11641.4,2932.6,73.0,3418.0
131,Lennar,27130.7,0.206,4430.1,0.797,33207.8,23413.0,-2.0,10753.0
132,United Natural Foods,26992.0,0.009,149.0,,7525.0,2409.3,-25.0,28300.0
133,NRG Energy,26989.0,1.968,2187.0,3.2880000000000003,23182.0,9289.0,200.0,6635.0
134,Nvidia,26914.0,0.614,9752.0,1.251,44187.0,684878.6,50.0,22473.0
135,Occidental Petroleum,26772.0,0.605,2322.0,,75036.0,53160.2,48.0,11678.0
136,Salesforce,26492.0,0.247,1444.0,-0.645,95209.0,210196.8,1.0,73541.0
137,Dollar Tree,26321.2,0.032,1327.9,-0.01,21721.8,36051.4,-26.0,136226.0
138,KKR,26141.3,1.715,4666.5,1.33,264285.4,51542.9,178.0,3238.0
139,Kraft Heinz,26042.0,-0.005,1012.0,1.843,93394.0,48248.6,-29.0,36000.0
140,Amgen,25979.0,0.022,5893.0,-0.1889999999999999,61165.0,134700.8,-28.0,24200.0
141,AutoNation,25844.0,0.267,1373.0,2.5980000000000003,8943.6,6111.4,4.0,22200.0
142,Penske Automotive Group,25554.7,0.25,1187.8,1.185,13464.6,7196.7,1.0,24797.0
143,PayPal Holdings,25371.0,0.183,4169.0,-0.008,75803.0,134732.8,-9.0,30900.0
144,Macy's,25292.0,0.3979999999999999,1430.0,,17590.0,7123.2,20.0,88857.0
